,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
0,Hyundai,Santa Fe,2022,"$49,990",White,Ultimate Calligraphy,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"5,489",https://www.carproof.com/order?ref=kijiji&vin=5NMS5DAL3NH412723,"506 Main St N, Brampton, ON, L6V 1P9"
1,BMW,X3,2018,"$32,980",Black,XDrive30i Sports Activity Vehicle,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"112,079",https://www.carproof.com/order?ref=kijiji&vin=5UXTR9C51JLC76333,"2555 Steeles Avenue West, North York, ON, M3J 2P1"
2,GMC,Sierra 1500,2018,"$38,990",Black,SLE,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"102,122",https://www.carproof.com/order?ref=kijiji&vin=3GTU2MEC7JG136998,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
3,Nissan,Rogue,2016,"$17,895",White,S AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"140,781",https://www.carproof.com/order?ref=kijiji&vin=5N1AT2MV2GC816774,na
4,Ford,Other,2018,"$35,988",Other,E-350 14Ft Box - 6.2L V8 Gas - Side Door,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"163,000",na,"80 Toro Road, Toronto, ON, M3J 2A8"
5,GMC,Other,2018,"$48,488",White,G3500 - 16Ft Box - 6.0L V8 Gasoline + Ramp,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"132,000",na,na
6,Kia,Sorento Plug-in Hybrid,2022,"$68,995",Grey,SX,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,na,na,"2201 Markham Road, Scarborough, ON, M1B 2W3"
7,Honda,Odyssey,2012,"$26,000",na,Touring ,Used,"Minivan, Van",na,na,na,"121,000",na,na
8,Acura,Integra,1999,"$12,995",Black,GS,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,na,"31,000",na,"North York, ON M9L 1X6"
9,BMW,X5,2014,"$27,495",Black,//M SPORT | NAVI | PREMIUM | PANO,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"126,000",https://www.carproof.com/order?ref=kijiji&vin=5UXKR0C50E0K49118,na
10,Porsche,911,2013,"$102,721",Grey,na,Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Gasoline,"82,808",na,na
11,Honda,CR-V,2018,"$26,890",Silver,"LX AWD w/ CarPlay & Android Auto, Honda Sensing Tech",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"94,000",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
12,Infiniti,QX60,2014,"$12,500",Black,-,Used,"SUV, Crossover",na,Automatic,Gasoline,"188,000",na,"Toronto, ON, M3J, CA"
13,Ford,Transit,2017,"$47,988",White,T-250 148WB HighRoof - Pro Shelves - Cruise/Btooth,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"122,000",na,na
